actor_slug,name,category,description,long_description,address,postal_code,county,county_slug,municipality,municipality_slug,city,area,lat,lng,phone,email,website,instagram,opening_hours,opening_hours_osm,tags,benefits,how_to_use,image,nationwide,service_area_county_slugs,service_area_municipality_slugs
phonefix-arendal-arendal,PhoneFix Arendal,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,PhoneFix Arendal i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Kirkebakken 13,4836,Agder,agder,Arendal,arendal,Arendal,,58.4584201,8.7651775,41125261,,https://phonefix.no/,,mandag: 10:00-20:00|tirsdag: 10:00-20:00|onsdag: 10:00-20:00|torsdag: 10:00-20:00|fredag: 10:00-20:00|lørdag: 12:00-18:00|søndag: 12:00-18:00,Mo 10:00-20:00; Tu 10:00-20:00; We 10:00-20:00; Th 10:00-20:00; Fr 10:00-20:00; Sa 12:00-18:00; Su 12:00-18:00,service,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
iphonemannen-as-arendal,iPhonemannen AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,iPhonemannen AS i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Stoaveien 3C,4848,Agder,agder,Arendal,arendal,Arendal,,58.459701100000004,8.7122663,99468600,,http://www.iphonemannen.no/,,mandag: 10:00-16:00|tirsdag: Stengt|onsdag: 10:00-16:00|torsdag: 10:00-16:00|fredag: Stengt|lørdag: Stengt|søndag: Stengt,Mo 10:00-16:00; Tu off; We 10:00-16:00; Th 10:00-16:00; Fr off; Sa off; Su off,service,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
arendal-mobil-arendal,Arendal mobil,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Arendal mobil i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Peder Thomassons gate 2,4836,Agder,agder,Arendal,arendal,Arendal,,58.459801299999995,8.7660549,92020228,,,,mandag: 09:30-19:30|tirsdag: 09:30-19:30|onsdag: 09:30-19:30|torsdag: 09:30-19:30|fredag: 09:30-19:30|lørdag: 09:30-19:30|søndag: Stengt,Mo 09:30-19:30; Tu 09:30-19:30; We 09:30-19:30; Th 09:30-19:30; Fr 09:30-19:30; Sa 09:30-19:30; Su off,service,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
mobit-arendal,Mobit,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Mobit i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Stoaveien 3 A,4848,Agder,agder,Arendal,arendal,Arendal,,58.459893400000006,8.712280699999999,37005700,,https://www.mobit.no/forhandlere/arendal,,mandag: 08:00-16:00|tirsdag: 08:00-16:00|onsdag: 08:00-16:00|torsdag: 08:00-16:00|fredag: 08:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-16:00; Fr 08:00-16:00; Sa off; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
elektroverkstedet-as-arendal,Elektroverkstedet AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Elektroverkstedet AS i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Industritoppen 15,4848,Agder,agder,Arendal,arendal,Arendal,,58.4553253,8.7191753,37096000,,http://www.arendalelektroverksted.no/,,mandag: 08:00-16:00|tirsdag: 08:00-16:00|onsdag: 08:00-16:00|torsdag: 08:00-16:00|fredag: 08:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-16:00; Fr 08:00-16:00; Sa off; Su off,service,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
mobile-arendal-as-arendal,Mobile Arendal AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Mobile Arendal AS i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Industritoppen 8B,4848,Agder,agder,Arendal,arendal,Arendal,,58.45716409999999,8.718942499999999,37095077,,https://mobile.no/forhandlere/mobile-arendal,,mandag: 08:00-16:00|tirsdag: 08:00-16:00|onsdag: 08:00-16:00|torsdag: 08:00-18:00|fredag: 08:00-16:00|lørdag: 10:00-14:00|søndag: Stengt,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-18:00; Fr 08:00-16:00; Sa 10:00-14:00; Su off,car dealer,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
elesco-agder-as-grimstad,Elesco Agder AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Elesco Agder AS i Grimstad bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Gjærbrøndveien 175,4886,Agder,agder,Grimstad,grimstad,Grimstad,,58.34628360000001,8.536058299999999,37046110,,http://www.elesco.no/,,mandag: 08:30-16:30|tirsdag: 08:30-16:30|onsdag: 08:30-16:30|torsdag: 08:30-16:30|fredag: 08:30-16:30|lørdag: Stengt|søndag: Stengt,Mo 08:30-16:30; Tu 08:30-16:30; We 08:30-16:30; Th 08:30-16:30; Fr 08:30-16:30; Sa off; Su off,service,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
greenphones-as-tvedestrand,Greenphones AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Greenphones AS i Tvedestrand bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Østre Grenstøl 80,4900,Agder,agder,Tvedestrand,tvedestrand,Tvedestrand,,58.61962529999999,8.9080567,37162000,,http://www.greenphones.no/,,mandag: 08:30-16:00|tirsdag: 08:30-16:00|onsdag: 08:30-16:00|torsdag: 08:30-19:00|fredag: 08:30-16:00|lørdag: 10:00-17:00|søndag: Stengt,Mo 08:30-16:00; Tu 08:30-16:00; We 08:30-16:00; Th 08:30-19:00; Fr 08:30-16:00; Sa 10:00-17:00; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
databutikken-evje-as-evje,Databutikken Evje AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Databutikken Evje AS i Evje bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Gnr 50 Bnr 86,4735,Agder,agder,Evje,evje,Evje,,58.586012399999994,7.8053962,37931550,,http://www.dataevje.no/,,mandag: 09:00-16:30|tirsdag: 09:00-16:30|onsdag: 09:00-16:30|torsdag: 09:00-16:30|fredag: 09:00-18:00|lørdag: 10:00-14:00|søndag: Stengt,Mo 09:00-16:30; Tu 09:00-16:30; We 09:00-16:30; Th 09:00-16:30; Fr 09:00-18:00; Sa 10:00-14:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
datahjelp-nedenes,DataHjelp,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,DataHjelp i Nedenes bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Blåklokkesvingen 127A,4823,Agder,agder,Nedenes,nedenes,Nedenes,,58.39950340000001,8.6897749,90919662,,http://www.datahjelp.no/,,,,service,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
elon-arendal-arendal,Elon Arendal,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Elon Arendal i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Strømsbusletta 8,4847,Agder,agder,Arendal,arendal,Arendal,,58.4605738,8.7514687,37056777,,https://www.elon.no/butikker/arendal/elon-arendal,,mandag: 10:00-18:00|tirsdag: 10:00-18:00|onsdag: 10:00-18:00|torsdag: 10:00-18:00|fredag: 10:00-18:00|lørdag: 10:00-15:00|søndag: Stengt,Mo 10:00-18:00; Tu 10:00-18:00; We 10:00-18:00; Th 10:00-18:00; Fr 10:00-18:00; Sa 10:00-15:00; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
elkjop-arendal-arendal,Elkjøp Arendal,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Elkjøp Arendal i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Sagvannsveien 54,4848,Agder,agder,Arendal,arendal,Arendal,,58.465266799999995,8.709016,21002121,,https://www.elkjop.no/?utm_source=google&utm_medium=organic&utm_campaign=1002,,mandag: 10:00-20:00|tirsdag: 10:00-20:00|onsdag: 10:00-20:00|torsdag: 10:00-20:00|fredag: 10:00-20:00|lørdag: 10:00-18:00|søndag: Stengt,Mo 10:00-20:00; Tu 10:00-20:00; We 10:00-20:00; Th 10:00-20:00; Fr 10:00-20:00; Sa 10:00-18:00; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
elkjop-phonehouse-arendal-arendal,Elkjøp Phonehouse Arendal,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Elkjøp Phonehouse Arendal i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Alti Arendal,4836,Agder,agder,Arendal,arendal,Arendal,,58.459722,8.7633619,21002121,,https://www.elkjop.no/store/elkjop-phonehouse-arendal,,mandag: 09:00-20:00|tirsdag: 09:00-20:00|onsdag: 09:00-20:00|torsdag: 09:00-20:00|fredag: 09:00-20:00|lørdag: 09:00-18:00|søndag: Stengt,Mo 09:00-20:00; Tu 09:00-20:00; We 09:00-20:00; Th 09:00-20:00; Fr 09:00-20:00; Sa 09:00-18:00; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
power-arendal-arendal,Power Arendal,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Power Arendal i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Sagvannsveien 16,4848,Agder,agder,Arendal,arendal,Arendal,,58.46510999999999,8.7129,21004000,,https://www.power.no/,,mandag: 10:00-20:00|tirsdag: 10:00-20:00|onsdag: 10:00-20:00|torsdag: 10:00-20:00|fredag: 10:00-20:00|lørdag: 10:00-18:00|søndag: Stengt,Mo 10:00-20:00; Tu 10:00-20:00; We 10:00-20:00; Th 10:00-20:00; Fr 10:00-20:00; Sa 10:00-18:00; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
alti-arendal-arendal,Alti Arendal,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Alti Arendal i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Vesterveien 4,4836,Agder,agder,Arendal,arendal,Arendal,,58.459915300000006,8.7642551,37026392,,https://alti.no/arendal?utm_source=google&utm_medium=infoboks&utm_campaign=gmb,,mandag: 09:00-20:00|tirsdag: 09:00-20:00|onsdag: 09:00-20:00|torsdag: 09:00-20:00|fredag: 09:00-20:00|lørdag: 09:00-18:00|søndag: Stengt,Mo 09:00-20:00; Tu 09:00-20:00; We 09:00-20:00; Th 09:00-20:00; Fr 09:00-20:00; Sa 09:00-18:00; Su off,shopping mall,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
agder-industrielektronikk-as-arendal,Agder Industrielektronikk AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Agder Industrielektronikk AS i Arendal bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Stoaveien 29A,4848,Agder,agder,Arendal,arendal,Arendal,,58.4626208,8.7142274,37023800,,http://www.aie-as.no/,,,,point of interest,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
power-grimstad-grimstad,POWER Grimstad,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,POWER Grimstad i Grimstad bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Odden 2,4876,Agder,agder,Grimstad,grimstad,Grimstad,,58.3373288,8.5924034,99585858,,https://www.power.no/,,mandag: 10:00-18:00|tirsdag: 10:00-18:00|onsdag: 10:00-18:00|torsdag: 10:00-18:00|fredag: 10:00-18:00|lørdag: 10:00-16:00|søndag: Stengt,Mo 10:00-18:00; Tu 10:00-18:00; We 10:00-18:00; Th 10:00-18:00; Fr 10:00-18:00; Sa 10:00-16:00; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
godata-as-grimstad,Godata AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Godata AS i Grimstad bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Arendalsveien 40,4878,Agder,agder,Grimstad,grimstad,Grimstad,,58.34651329999999,8.5990673,95486205,,http://www.godata.no/,,mandag: 08:00-16:00|tirsdag: 08:00-16:00|onsdag: 08:00-16:00|torsdag: 08:00-16:00|fredag: 08:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-16:00; Fr 08:00-16:00; Sa off; Su off,consultant,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
jp-thygesen-as-sjekkpunkt-bilverksted-grimstad,JP & Thygesen AS (SjekkPunkt Bilverksted),reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,JP & Thygesen AS (SjekkPunkt Bilverksted) i Grimstad bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Lillesandsveien 29,4877,Agder,agder,Grimstad,grimstad,Grimstad,,58.3396932,8.580124099999999,37252930,,http://www.jpthygesen.no/,,mandag: 07:00-16:00|tirsdag: 07:00-16:00|onsdag: 07:00-16:00|torsdag: 07:00-16:00|fredag: 07:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 07:00-16:00; Tu 07:00-16:00; We 07:00-16:00; Th 07:00-16:00; Fr 07:00-16:00; Sa off; Su off,car repair,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
grimstad-chiptuning-as-grimstad,Grimstad Chiptuning AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Grimstad Chiptuning AS i Grimstad bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Bergemoveien 11,4886,Agder,agder,Grimstad,grimstad,Grimstad,,58.33893169999999,8.5540848,47385801,,http://www.gctuning.no/,,mandag: 09:00-16:00|tirsdag: 09:00-16:00|onsdag: 09:00-16:00|torsdag: 09:00-16:00|fredag: 09:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 09:00-16:00; Tu 09:00-16:00; We 09:00-16:00; Th 09:00-16:00; Fr 09:00-16:00; Sa off; Su off,auto parts store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
hauglid-data-as-tvedestrand,Hauglid Data AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Hauglid Data AS i Tvedestrand bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Østre Grenstøl 22,4900,Agder,agder,Tvedestrand,tvedestrand,Tvedestrand,,58.614817499999994,8.9055913,94979497,,http://www.hkd.no/,,mandag: 08:00-16:00|tirsdag: 08:00-16:00|onsdag: 08:00-16:00|torsdag: 08:00-16:00|fredag: 08:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-16:00; Fr 08:00-16:00; Sa off; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
pcsalg-as-tvedestrand,pcsalg.as,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,pcsalg.as i Tvedestrand bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Hovedgata 43,4900,Agder,agder,Tvedestrand,tvedestrand,Tvedestrand,,58.6238861,8.927717,95466670,,https://pcsalg.as/,,mandag: 08:00-16:00|tirsdag: 08:00-16:00|onsdag: 08:00-16:00|torsdag: 08:00-16:00|fredag: 08:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-16:00; Fr 08:00-16:00; Sa off; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
elkjop-tvedestrand-tvedestrand,Elkjøp Tvedestrand,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Elkjøp Tvedestrand i Tvedestrand bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Fjærkleivene 53,4900,Agder,agder,Tvedestrand,tvedestrand,Tvedestrand,,58.627233399999994,8.9195785,37199090,,https://www.elkjop.no/?utm_source=google_location&utm_medium=organic&utm_campaign=1281,,mandag: 10:00-18:00|tirsdag: 10:00-18:00|onsdag: 10:00-18:00|torsdag: 10:00-18:00|fredag: 10:00-18:00|lørdag: 10:00-16:00|søndag: Stengt,Mo 10:00-18:00; Tu 10:00-18:00; We 10:00-18:00; Th 10:00-18:00; Fr 10:00-18:00; Sa 10:00-16:00; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
goon-cave-67-risor,goon cave 67,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,goon cave 67 i Risør bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Haresvingen 3,4956,Agder,agder,Risør,risor,Risør,,58.7141683,9.185922699999999,,,,,,,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
elesco-tvedestrand-tvedestrand,Elesco Tvedestrand,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Elesco Tvedestrand i Tvedestrand bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Søsterdalen 18,4900,Agder,agder,Tvedestrand,tvedestrand,Tvedestrand,,58.627879799999995,8.9240639,37199099,,http://www.elescotvedestrand.no/,,mandag: 08:00-16:00|tirsdag: 08:00-16:00|onsdag: 08:00-16:00|torsdag: 08:00-16:00|fredag: 08:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-16:00; Fr 08:00-16:00; Sa off; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
power-risor-risor,POWER Risør,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,POWER Risør i Risør bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Buvikveien 21,4950,Agder,agder,Risør,risor,Risør,,58.7260591,9.2431997,45399144,,https://www.power.no/,,mandag: 10:00-17:00|tirsdag: 10:00-17:00|onsdag: 10:00-17:00|torsdag: 10:00-18:00|fredag: 10:00-17:00|lørdag: 10:00-15:00|søndag: Stengt,Mo 10:00-17:00; Tu 10:00-17:00; We 10:00-17:00; Th 10:00-18:00; Fr 10:00-17:00; Sa 10:00-15:00; Su off,electronics store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
sjosenteret-risor-as-risor,Sjøsenteret Risør AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Sjøsenteret Risør AS i Risør bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Solsiden 1,4950,Agder,agder,Risør,risor,Risør,,58.72178220000001,9.2414036,37143950,,https://sjosenteret.no/,,mandag: 10:00-16:00|tirsdag: 10:00-16:00|onsdag: 10:00-16:00|torsdag: 10:00-16:00|fredag: 10:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 10:00-16:00; Tu 10:00-16:00; We 10:00-16:00; Th 10:00-16:00; Fr 10:00-16:00; Sa off; Su off,supplier,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
hr-bildeler-risor-sjekkpunkt-bilverksted-risor,HR Bildeler Risør (SjekkPunkt Bilverksted),reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,HR Bildeler Risør (SjekkPunkt Bilverksted) i Risør bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Hestemyrveien 18,4950,Agder,agder,Risør,risor,Risør,,58.713226999999996,9.168954,37152255,,http://www.hrbildeler.no/,,mandag: 08:00-16:00|tirsdag: 08:00-16:00|onsdag: 08:00-16:00|torsdag: 08:00-16:00|fredag: 08:00-16:00|lørdag: Stengt|søndag: Stengt,Mo 08:00-16:00; Tu 08:00-16:00; We 08:00-16:00; Th 08:00-16:00; Fr 08:00-16:00; Sa off; Su off,car repair,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
reinertsen-dataservice-as-hamresanden,Reinertsen Dataservice AS,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Reinertsen Dataservice AS i Hamresanden bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Granittveien 31,4665,Agder,agder,Hamresanden,hamresanden,Hamresanden,,58.1828593,8.1005994,97513609,,https://reinertsen.net/,,mandag: 16:00-23:00|tirsdag: 16:00-23:00|onsdag: 16:00-23:00|torsdag: 16:00-23:00|fredag: 16:00-23:00|lørdag: 10:00-23:00|søndag: 12:00-23:00,Mo 16:00-23:00; Tu 16:00-23:00; We 16:00-23:00; Th 16:00-23:00; Fr 16:00-23:00; Sa 10:00-23:00; Su 12:00-23:00,service,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
extra-grimstad-grimstad,Extra Grimstad,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Extra Grimstad i Grimstad bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Guldmandsveien 2,4876,Agder,agder,Grimstad,grimstad,Grimstad,,58.334773399999996,8.5889256,90601200,,https://www.coop.no/butikker/extra/extra-grimstad-2725,,mandag: 07:00-23:00|tirsdag: 07:00-23:00|onsdag: 07:00-23:00|torsdag: 07:00-23:00|fredag: 07:00-23:00|lørdag: 07:00-23:00|søndag: 09:00-22:00,Mo 07:00-23:00; Tu 07:00-23:00; We 07:00-23:00; Th 07:00-23:00; Fr 07:00-23:00; Sa 07:00-23:00; Su 09:00-22:00,grocery store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
joker-grimstad-grimstad,Joker Grimstad,reparasjon,Reparasjonsverksted for elektronikk og hverdagsutstyr.,Joker Grimstad i Grimstad bidrar til en mer sirkulær økonomi. Reparasjonsverksted for elektronikk og hverdagsutstyr. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Storgaten 38,4876,Agder,agder,Grimstad,grimstad,Grimstad,,58.343060900000005,8.591378299999999,37044991,,https://joker.no/Finn-butikk/Joker-Grimstad/,,mandag: 08:00-22:00|tirsdag: 08:00-22:00|onsdag: 08:00-22:00|torsdag: 08:00-22:00|fredag: 08:00-22:00|lørdag: 08:00-22:00|søndag: Stengt,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-22:00; Su off,grocery store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
